문제번호	보기1	보기2	보기3	보기4
164	강비서는 상사의 지인에 관련한 부음을 신문에서 보고 해당인물의 비서실에 전화를 걸어서 확인하였다.	민비서는 보고서 작성을 위해 사내 인트라넷을 이용하여 1차 관련자료를 수집한 후 외부자원을 위해서 추가 자료를 수집하였다.	정비서는 웹자료를 검색할 때에 정보의 질이 우수하여, 출처가 불분명한 글을 인용하였다.	박비서는 인터넷검색이 불가능한 오래된 귀중본 열람을 위해서 소장여부 및 열람가능여부 확인 후 도서관에 직접 방문하였다.
165	사물인터넷(Internet of Things, IoT)은 사물 등에 센서를 달아 실시간으로 데이터를 수집하고 주고받는 기술이다.	IoT라는 용어는 1999년에 케빈 애쉬튼이 처음 사용하기 시작했다.	보안 취약성, 개인정보 유출 등에 관한 우려가 존재하여 이에 대한 대응이 요구된다.	IoT에 관련한 국제표준이 부재하여 시장 전망에 비해 시장확대 속도가 느린 편이다.
166	USB 2.0에 비해 USB 3.0 버전은 빠른 데이터 전송이 가능하다.	USB 인터페이스는 전원이 켜진 상태에서도 장치를 연결하거나 분리, 혹은 교환이 가능한 간편한 사용법이 특징이다.	USB 3.0 버전은 USB 2.0 버전과 구별하기 위해 보라색 포트사용을 권장하고 있다.	별도의 소프트웨어 설치 없이도 상당수의 USB 장치(키보드, 마우스, 웹캠, USB 메모리, 외장하드 등)들을 간단히 사용할 수 있다.
167	드롭박스	구글 드라이브	스카이프	마이크로소프트 원드라이브
168	비서는 상사의 직접적인 감독하에 업무 책임을 져야 하는 직종이다. 	비서는 솔선수범과 판단력을 발휘하여 상사 본연의 업무를 보좌하는 직종이다. 	비서는 주어진 권한 범위 내에서 의사결정을 내려 업무를 처리할 수 있다. 	비서는 보안상 주어진 모든 업무를 직접 처리해야 한다. 
169	한국건설 대표이사의 비서인 김나정은 평소 상사에게 올라오는 서류의 내용을 파악함으로써 상사의 업무를 파악하려 노력한다. 	영도물산 이지은 비서는 매일 신문의 인사 동향을 확인하고 주요 기사는 스크랩한다. 	미풍상사 황아영 비서는 업무 중에 틈나는 대로 회계공부를 한다. 	왕도출판사 김영숙 비서는 비서를 대상으로 하는 커뮤니티에 가입해 같은 지역 비서들과 정기적으로 만나며 네트워크를 넓혀나가고 있다. 
170	상사의 출장 동안 걸려온 전화는 전화메모 용지에 작성하기보다 전화 기록부의 형태로 작성해서 상사에게 보고한다. 	전화기록부를 작성해두면 상사가 출장 중에 걸려온 전화를 전체적으로 파악할 수 있을 뿐 아니라 중요한 전화를 먼저 처리할 수 있다. 	전화기록부는 상사가 주요 발신자와 통화를 마치면 폐기한다. 	전화 기록부에는 날짜, 시간, 전화 건 사람의 이름 및 직책, 소속, 전화메모 내용, 전화 번호 등을 포함시킨다. 
171	VIP 손님과 사내 임원진들의 회의 시 VIP 손님을 입구에서 가까운 창가 쪽 좌석으로 안내하였다. 	상사의 대학교 후배 내방 시 후배부터 차를 대접하였다. 	기사가 운전하는 차에 비서가 상사와 함께 타게 되어 뒷자리의 상사 옆좌석에 탑승하였다. 	수동 회전문 앞에서 비서가 손님보다 먼저 들어가서 안내하였다. 
172	Respect: 의전의 바탕은 상대 문화 및 상대방에 대한 존중과 배려에 있다. 	Reciprocity: 의전은 내가 배려한 만큼 상대방으로부터 배려를 기대하는 것이다. 	Rank: 의전에 있어 가장 기본이 되는 것은 참석자들 간에 서열을 지키는 것이다. 	Reflecting Culture: 의전은 시대와 문화에 따라 변하지 않고 절대적으로 지키는 원칙이다. 
173	일정관리 어플리케이션은 Awesome note, Ms-outlook, Jorte 등이 있다. 	컴퓨터와 스마트폰을 연동하여 일정을 관리하므로 비서는 언제 어디서나 상사의 일정을 관리할 수 있어 효율적이다. 	상사와 비서의 스마트폰 운영체제가 일치하여야 일정관리 프로그램과 스마트폰을 연동하여 사용할 수 있다. 	컴퓨터 일정관리 프로그램과 스마트폰을 연동하여 사용하는 것을 일정 동기화라고 한다. 
174	라운딩 일자에 우천 예보가 있어서 경기 취소 규정을 확인한다. 	주중 이용료와 주말 이용료 차이가 있는지 확인한다. 	골프장 예약 전에 라운딩 동반자들의 실명을 반드시 확인한다. 	골프장 예약 전에 상사가 선호하는 tee off time을 확인한다. 
175	상사 해외 출장 시 출장일정표의 일시는 우리나라 일시와 현지 일시를 동시에 표기해야 한다. 	출장일정표 작성 시 글자를 작게 해서라도 일정을 한눈에 볼 수 있게 한 장의 표로 작성한다. 	상사의 스마트기기에 출장일정을 연동해 두어 상사가 언제 어디서나 출장일정을 확인할 수 있도록 해 둔다. 	출장 일정표에는 보안상 숙소의 이름이나 면담자 성명과 연락처 등 상세한 정보는 기재하지 않는다. 
176	“다음 순서로, 회장님의 축사가 있으시겠습니다.” 	“실례가 안 된다면 상무님의 자녀는 몇명이신가요?” 	“죄송합니다만, 사장님께서 급한 사정으로 참석이 힘들다고 말씀 전해달라 하셨습니다.” 	“제가 회장님실로 안내해 드리겠습니다.” 
177	영국은 시계를 선물하는 것은 시간보다 중요한 것은 없다는 긍정적 의미이므로 선물해도 무방하다. 	중국은 시계를 선물하는 것은 '시계를 선물한다'가 '장례를 치르다'는 의미인 쑹중(送終)과 발음이 같으므로 이제 관계를 끝내자는 의미로 부적절하다. 	중국은 신발을 선물하는 것은 신발의 발음이 셰(鞋)로 사악하다는 의미인 셰(邪)와 발음이 같아 부적절하다. 	일본에 한국 도자기를 선물하는 것은 역사적인 의미를 담으므로 금기시 된다. 
178	직급: 科長, 局長 	경사: 榮轉, 昇進 	조사: 弔義, 賻儀 	부서: 企劃室, 營業府 
179	문장을 간략하게 육하원칙에 의거하여 요점 중심으로 작성하였다. 	보고서는 가능한 한 장으로 작성하고, 기타 필요한 내용은 별첨으로 처리하였다. 	입수한 자료가 불충분하여 개인적 추측을 더해 보고서를 작성하였다. 	구두 보고 시 상사가 궁금해 하는 내용을 먼저 보고하였다. 
180	새로운 내용이 추가되어야 할 때는 상사 이력을 수정하고 수정한 일자를 기록해 둔다. 	상사의 이력은 상사의 허락을 받은 후 대내외에 공개할 수 있다. 	대내외에 공개할 때는 모든 경력이 기재된 이력서 원본을 공개하는 것이 좋다. 	전임자에게 인수인계 받은 이력서라도 학교명이나 학위 등의 정확한 표기를 다시 한 번 확인하는 것이 좋다. 
181	비서실 사무용품 구입 시, 경비 지출 규정집 등을 참고하여 경비 처리 규정 준수 여부를 확인한다. 	경비 처리 규정을 넘는 품목은 결재권자의 사전 승인을 얻은 후 구매 주문을 실행한다. 	상사가 지출한 접대비 중 그 성격상 지출 내역을 밝힐 수 없는 비용이나 증빙을 갖추지 못한 접대비는 지출결의서를 작성해야하며 세법상 비용을 인정받을 수 있다. 	영수증은 거래의 유효성을 뒷받침하는 증거 서류이므로 훼손되거나 분실하지 않도록 주의한다. 
182	소유권 이전의 용이성 	소유권자의 유한 자본조달 책임 	상대적으로 적은 주식회사 설립 비용 	자본조달의 확대 가능 
183	시장점유율이 비슷한 경우 	산업성장률이 높은 경우 	시장진입장벽이 낮은 경우 	대체재 수가 많은 경우 
184	기업은 출자의 주체에 따라 사기업, 공기업, 공사공동기업 등으로 구분된다. 	사기업은 다시 출자자의 수에 따라 개인기업과 주식회사로 분류할 수 있다. 	다수공동기업의 형태로는 합명회사, 합자회사, 유한회사 등이 있다. 	국영기업, 지방공기업, 익명조합, 공사, 공단 등은 공기업의 예이다. 
185	인력 확보 	가격경쟁의 불리함 	자금 확보 	강력한 정부 규제 
186	조직 - 지휘 – 계획 - 통제 	계획 - 조직 – 지휘 - 통제 	지휘 – 통제 – 계획 - 조직 	조직 – 계획 – 통제 - 지휘 
187	기업은 경영활동에 관련된 의사결정이 특정개인이나 사회전반에 미칠 수 있는 영향을 고려해야 하는 의무가 있다. 	기업은 주주와 내부고객을 위해 최대이윤을 확보함으로써 기업을 유지 발전시켜야 하는 책임이 있다. 	기업의 사회적 책임에는 기업의 유지 및 발전에 대한 책임, 환경에 대한 책임, 공정경쟁의 책임, 지역사회에 대한 책임 등이 포함된다. 	기업이 사회적 책임을 이행하면 결국 고객과 사회로부터 신뢰와 좋은 평판을 얻게되어 기업이미지와 매출에 긍정적으로 작용할 수 있다. 
188	사업부제조직은 각 사업부의 성과와 기여도가 명확히 나타나므로 경영통제가 용이하다는 장점이 있다. 	매트릭스조직은 이중적 지휘체계 때문에 구성원들의 역할갈등과 역할 모호성을 유발할 수 있다. 	네트워크조직은 자원중복과 투자를 감소시켜 적은 자산과 인력으로 기업을 운영할 수 있다는 장점이 있다. 	위원회조직은 주어진 과업이 구체적이므로 책임이 명확하며 의사결정과정이 신속하고 합의가 용이하다는 장점이 있다. 
189	안전 욕구 → 사회적 욕구 → 성취 욕구 → 자아실현 욕구 → 존경 욕구 	존재 욕구 → 안전 욕구 → 사회적 욕구 → 성장 욕구 → 자아실현 욕구 	안전 욕구 → 사회적 욕구 → 권력 욕구 → 자아실현 욕구 → 존경 욕구 	생리적 욕구 → 안전 욕구 → 사회적 욕구 → 존경 욕구 → 자아실현 욕구 
190	경영자의 책무 중 리더십은 다른 사람을 동기부여시킴으로써 그들로 하여금 특정목적을 달성할 수 있는 활동을 하도록 하는 것이다. 	리더십 개념은 초기에 특성이론으로 바람직한 위인의 특성을 찾고자 하는 연구였으며, 위인이론에 집중되었다. 	전제적 리더는 다른 사람의 의사를 묻지 않고 단독으로 의사결정을 하는 스타일이다. 	방임형 리더는 모든 의사결정과정에 부하를 참여시키며, 집단의사결정을 하는 스타일이다. 
191	최대 생산의 원칙 	적재적소 배치의 원칙 	공정한 보상의 원칙 	공정한 인사의 원칙 
192	원가중심의 가격설정은 제품의 생산 및 유통과 관련된 각종비용을 기준으로 제품가격을 설정하는 것이다. 	수요중심의 가격설정은 시장수요의 강도와 크기에 따라 제품가격을 설정하는 것이다. 	경쟁중심의 가격설정은 경쟁제품을 기준으로 하여 가격을 설정하는 것이다. 	할인중심의 가격설정은 신제품을 출시할 때 미리 할인해서 가격을 설정하는 것이다. 
193	복리후생은 종업원의 복지향상을 위해 지급되는 임금을 포함한 모든 경제적 급부를 말한다. 	복리후생 중 일부는 국가의 입법에 의하여 제도화되어 강제적으로 운영되고 있다. 	허즈버그의 이요인이론에 따르면, 경제적 복리후생은 동기요인에 해당하며 구성원의 만족에 긍정적 영향을 미친다고 할 수 있다. 	복리후생 중 건강보험 보험료는 근로자가 일부 부담하지만 고용보험 보험료는 회사가 전액 부담한다. 
194	은행계좌 추적 프로그램 	네트웍 마비 프로그램 	암호화해 숨기는 심층암호기술 	스마트폰 장치 제어프로그램 
195	이익잉여금 	상표권 	유가증권 	외상매입금 
196	한국은행은 한국은행법에 따라 설립되어 운영되고 금융기관하고만 거래한다. 	일반은행은 금융거래를 통해 이익을 얻을 목적으로 영업하며 시중은행, 지방은행, 외국은행의 국내지점 등이 있다. 	저축은행, 새마을 금고 등은 일반은행에서 자금 공급이 어려운 부문에 자금을 공급하는 특수은행이다. 	신용보증기관은 기업이 금융에서 자금을 빌릴 수 있도록 보증을 서주고 대가를 받는다. 
197	We see few lightning bugs even on a farm. 	The number of foreign investors is on the rise. 	Some of the applicants arrived late for their job interview. 	All of the merchandise have tested carefully before the launch. 
198	We'll be dealing with it in a minute. 	This is Tom. May I speak to Mr. Kim? 	Excuse me, may I interrupt? 	I think we can skip point three. 
199	Let the caller know the person who is being transferred. 	Be polite and professional. 	Disconnect the caller. 	Ask the caller for permission before you make the transfer. 
200	해당 문서철의 우측 하단에 첫 쪽부터 시작하여 일련번호로 쪽수 부여 및 표기한다. 	표지와 색인목록은 쪽수 부여 및 표기 대상에서 제외한다. 	동일한 문서철을 2권 이상으로 나누어 편철한 경우라도, 2권 이하의 문서철별 쪽수는 새 번호로 시작한다. 	연필로 먼저 표시한 후 기록물 정리가 끝나면 잉크 등으로 표시한다. 
201	라벨링 	편지병합 	하이퍼링크 	매크로 
202	종이 한 가운데 원을 그리고 문서의 주제인 '창립 기념 파티초대'를 원 안에 작성했다. 	주제와 관련한 핵심 단어를 중앙의 원과 연결된 선을 그어 배치한다. 	핵심 단어로는 '초대 이유', '초대 장소', '초대 일시', '세부일정' 등을 작성할 수 있다. 	마인드 맵은 문서 작성 시 일반적으로 자유로운 아이디어를 떠올리는 정보 수집 단계에서 사용한다. 
203	전문 문서 관리자를 통한 중요 문서의 보안에 집중할 수 있다. 	필요한 문서를 신속하고 쉽게 찾을 수 있어 시간과 노력을 줄일 수 있다. 	불필요한 문서를 적기에 폐기함으로써 보관 및 보존에 드는 공간을 절약할 수 있다. 	사무 환경이 개선되고 문서 관리에 드는 비용을 절감할 수 있다. 
204	강비서는 상사가 출장지에서 돌아온 다음날 출장지에서 신세를 진 사람에게 감사편지를 보냈다. 	윤비서는 행사 참가자에게 참석해주신 덕분에 행사가 잘 마무리되었음을 감사하는 내용으로 보냈다. 	최비서는 경조행사에 보내주신 경조금 금액을 정확하게 언급하면서 감사의 뜻을 전했다. 	정비서는 행사시에 약간의 실수가 있었던 사항에 대한 사과의 말을 함께 기재해서 감사장을 완성하였다. 
205	조르테, 구글캘린더 	원드라이브, 에버노트 	맵피, 아틀란 	라인, 카카오톡 
206	김비서는 사내 인사이동에 따른 임원보직변동을 확인 후 발령일자에 맞춰 키폰 번호를 재입력하고 레이블을 교체했다. 	이비서는 자리를 비우게 될 경우 비서실의 전화를 비서 개인의 휴대폰으로 착신하는 무료 서비스를 114에 전화해 신청했다. 	차비서는 여분의 프린트 토너를 항상 구입해 놓는다. 	김비서는 문서 세단기를 고칠 경우에는 항상 전원을 OFF로 해놓고 고친다. 
207	종이 문서나 그 밖에 전자적 형태로 작성되지 않은 문서를 정보 처리 시스템이 처리할 수 있게 하려면 전자화 문서로 변환한다. 	전자 문서 장기 보존을 위해서는 전자 문서 장기 보존 국제표준 PDF/A 형식으로 변환하여 저장한다. 	전자 문서의 폐기는 복원이 불가능하게 재포맷하거나 덮어 쓰기를 통해 파괴하여야 한다. 	전자문서는 보존이 용이하므로 종이문서보다 보존기한을 더 길게 적용한다. 
208	전자문서시스템에서는 문서등록번호나 접수번호가 자동으로 표시되며 시스템 오류의 경우라도 수기로 표시하지 않는다. 	행정상 공문서는 행정기관 또는 공무원이 직무상 작성하고 처리한 문서 외에 행정기관이 접수한 문서도 포함된다. 	문서과는 행정기관내의 공문서 분류·배부·수발업무지원 및 보존 등 문서에 관한 사무를 주관하는 과를 뜻한다. 	처리과는 문서의 수발 및 업무 처리를 주관하는 과로서 행정기관 내에 설치된 각 과를 말한다. 
209	프레젠테이션의 목적이 설득인지, 정보제공인지, 오락기능인지 등을 파악한다. 	여러 장의 자료를 준비할 때는 가급적 각 장마다 형식을 통일한다. 	'One page, One message' 원칙을 지킨다. 	한 장에 되도록 많은 그림과 글을 채워 넣어 청중의 관심을 불러일으킨다. 
210	회사의 블로그나 페이스북에 답변 댓글을 게재할 때는 회사에서 제시한 규정이 있을 경우 이를 따른다. 	사내에서 작성한 이메일 뉴스레터는 가입한 모든 회원에게 무조건 전송한다. 	회사 소식과 관련된 페이스북 페이지의 좋아요 버튼을 누를 때는 글의 성격에 따라 신중하게 행동한다. 	회사 홈페이지에 게시되는 내용 중 부적절한 내용은 관련 부서와 의논하여 규정에 따라 처리한다. 
211	김비서는 인터넷에서 다운 받은 파일은 반드시 바이러스검사를 수행한 후 사용한다. 	박비서는 USB메모리 자동실행을 활성화하였다. 	이비서는 바이러스 예방 프로그램을 램(RAM)에 상주시켜 바이러스 감염을 예방한다. 	황비서는 최신 버전의 백신 프로그램을 사용하여 주기적으로 검사를 한다. 
212	5년간의 매분기별 매출액의 추이를 비교하기 위해서 가로막대 그래프를 작성하였다. 	1년동안 매월 주요생산품의 매출액 구성 비율을 비교하기 위해서 띠그래프를 작성하였다. 	6월 30일자로 각 지사별 매출금액을 비교하기 위해서 꺾은선 그래프를 작성하였다. 	10월말일 기준으로 이동통신회사들의 시장점유율 비교를 위해서 세로막대 그래프를 작성하였다. 
213	출장 전 회사에서 현금 400,000원을 가지급하였고, 여비 정산 후 여비 부족액은 개인이 부담한다. 	지출 내역 중 주차비, 주유비, 식비, 교통비는 여비 교통비로 처리한다. 	거래처에 대한 선물비용은 접대비로 처리한다. 	시내 여비 교통비와 같이 증빙이 없는 경비는 회사 내부 품의서나 여비지출결의서 등을 작성하여 결재받아 증빙으로 사용할 수 있다. 
214	최비서는 받은 문서에 대한 회신을 하기 위해 해당 기관과 이전에 왕래했던 서신을 검토했다. 	이비서는 보고서를 작성할 때 공신력 있는 기관의 발표자료와 통계자료, 연구 자료 등을 수집했다. 	김비서는 감사장을 작성할 때 감사해야할 상황에 대해서 시간, 장소, 인물, 내용 등에 관한 정보를 수집했다. 	고비서는 보고서 작성을 위한 정보를 세부적인 것에서부터 큰 정보 순서로 수집했다. 
215	상사의 인적네트워크 관리를 위하여 데이터베이스를 작성한다. 	데이터베이스를 작성한 후에는 사내 비서들에게 배포하여 업무에 활용하도록 돕는다. 	데이터베이스는 정확한 사실에 기초하여야 한다. 	데이터베이스에는 외부인사, 내부인사 모두 포함한다. 
216	“전무님은 지금 중요한 손님과 면담 중이시라 전화를 연결할 수가 없습니다.” 	“전무님은 아직 출근 전이신데 누구시라고 전해드릴까요?” 	“죄송하지만 전무님은 다른 일정이 있어서 이번 전략회의 에는 참석이 어렵다고 하십니다.” 	“죄송하지만 전무님은 지금 중국 출장 중이시라 전화 연결이 안됩니다.” 
217	전화 회신을 요청하는 모든 전화는 전화를 걸기 전에 상사에게 회신해야 하는지 확인을 한다. 	자주 상사에게 전화를 하는 사람이라도 반드시 용건을 재확인하고 연결한다. 	급한 전화인 경우, 상사와 바로 연결할 수 있도록 상사 휴대전화 번호를 가르쳐 준다. 	상사가 회의 중일 때 걸려온 급한 전화인 경우 용건을 메모하여 회의 중인 상사에게 신속히 전달한다. 
218	선약된 내방객일지라도 용건을 여쭈어 보는 것이 업무의 정확성을 높이는 방법이다. 	외국인과 내국인 손님이 있을 경우, 외국인에게 우선순위를 두는 것이 원칙이다. 	비서는 내방객의 말투, 옷차림 등을 관찰하여 그에 맞는 응대를 하도록 한다. 	내방객들이 동시에 방문할 경우 선약된 손님을 먼저 응대하는 것이 적절하다. 
219	선배 비서의 업무처리 방식이 본인과 다른 경우 선배에게 솔직하게 의견을 말한 후 자신의 방식으로 업무를 추진한다. 	후배 비서가 업무 상 실수를 했을 경우 우선 주의를 주고 체계적으로 알려주는 적극적인 자세가 필요하다. 	입사동기가 회사내 인간관계에서 어려움을 토로하는 경우 상사에게 도움을 요청해서 도와주도록 한다. 	공동 비서로서 업무의 우선순위를 판단하기 어려운 경우 어느 상사의 업무를 먼저 처리하는 것이 옳은지를 선배에게 매번 자문을 구하는 것이 맞다. 
220	부서장 조찬 회의에 지각을 하게 되어 총무팀 선배에게 부탁하여 위기를 넘겼다. 도와준 선배에게 “늦어서 죄송합니다. 다음부터는 이런 일이 없도록 하겠습니다.”라고 인사했다. 회의가 무사히 끝났으므로 상사에게는 말씀드리지 않았다. 	우리회사 지사장으로 근무하다 본사로 발령이 난 상사의 신상카드를 작성하기 위하여 각종 신상정보를 상사에게 여쭈어 보았다. 	상사의 결재는 가급적 한 시간 마다 받을 수 있도록 상사의 결재 시간을 정해놓았다. 	외국에서 손님이 방문할 경우는 국가마다 직함의 경중에 차이가 있을 수 있으므로 직함만으로 경중을 판단하지 않았다. 
221	비서는 상사의 지위를 자신의 지위와 동일시하는 주인의식을 가지고 상사 인간관계의 통로 역할을 하도록 한다. 	비서는 상사를 보좌할 때 다른 비서들과 상사에 관한 다양한 정보를 공유하면서 비서로서 본인의 경험을 우선적으로 고려하여 업무 처리를 한다. 	비서는 일반적으로 노동조합 가입이 허용되지 않으므로 비공식적으로라도 노조직원들과의 만남을 가지면서 정보를 공유한다. 	후배 비서의 고충이나 의견을 잘 듣고 조언을 하거나 필요할 경우 해당 부서에 전달함으로써 조직과 비서실의 의사소통에 도움이 되도록 한다. 
222	상사가 자리에 없을 때 상사의 일정 수립이나 변경을 해야 할 경우는 스마트폰을 이용하여 상사의 승인을 받을 수 있다. 	외부일정이 많은 세 명의 상사를 보좌하는 비서는 업무의 효율성을 위해 모든 상사의 일정을 스마트 기기에 연동시켜서 계정을 통합하여 관리한다. 	비서가 스마트폰으로 일정을 기입하고, 상사의 스마트폰에서 일정 시작 전에 알람이 뜨게 설정한다. 	스마트폰에 상사의 일정을 캘린더 어플리케이션에 연동시켜 상사의 일정을 비서의 스마트폰에서 확인 및 추가를 할 수 있도록 설정한다. 
223	이비서는 회의실에서 아직 발표 전인 영업팀 김전무의 승진소식을 우연히 듣고 회의실에서 나와 바로 김전무의 비서에게 기쁜 소식을 전했다. 	박비서는 상사가 불법 행위에 대한 기밀을 지켜줄 것을 요구하며 큰 보상을 제시하였지만 비서로서 기밀유지는 당연하므로 보상은 거절하고 상사의 기밀을 지켜주었다. 	정비서는 경조사 업무 시 이용하던 화원에서 계속 이용해 달라고 백화점 상품권을 선물하자 그 상품권으로 상사를 위한 선물을 샀다. 	임비서는 친구로부터 상사의 신상에 대한 개인적인 질문을 받고 상사의 개인적인 부분은 잘 모른다고 답하였다. 
224	상사의 일정 계획은 정기적인 일정과 비정기적 일정으로 구분하여 계획을 수립한다. 	일정표는 연간, 월간, 주간, 일일 일정표로 세분화하여 일정표를 작성 및 관리한다. 	상사의 일정이 중복되었을 경우는 먼저 선약이 이루어진 일정을 우선으로 한다. 	일정 수행에 필요한 자료, 시설 및 기자재 등을 일정에 맞추어 미리 준비한다. 
225	상사의 저녁 약속 예약 이력 내용은 총무팀과 공유하여 상사와의 업무 조정에 참조하도록 한다. 	예약 이력 정보를 엑셀에 정리할 때 파일을 여러 개 만들기보다는 예약이라는 하나의 파일 안에 종류별로 시트를 만들어서 관리하는 것이 더 효율적이다. 	음식점을 예약할 때는 룸 예약 가능 여부, 주차 가능 여부 등도 문의한다. 	회사의 여비규정보다 숙박비가 초과되는 숙박시설을 예약해야 하는 경우 사전에 조직의 승인을 받아야 한다. 
226	직급별 출장 일비를 확인한다. 	출장과 관련하여 상사의 기호 및 요구사항을 확인한다. 	출장의 목적과 일정을 확인한다. 	출장 경비 정산을 준비한다. 
227	회의 통지문에는 회의의 명칭, 일시, 장소, 안건 등이 명시되어야 한다. 	회의 통지문은 이메일로 발송하더라도 반드시 우편으로도 보낸다. 	회의 개최 전에 반드시 참석자를 확인하여 회의의 성원이 되었는지 확인한다. 	회의 개최 계획안에는 회의의 목적과 일시, 참석자 범위, 회의일정 및 예산 등이 들어간다. 
228	반드시 참석해야 하는 인사의 일정을 고려하였는가? 	회의 주제와 회의 시기가 적절한가? 	요일 선정이 적절한가? 	3일의 회의 통지 기간을 확보하였는가? 
229	짧은 시간 내에 내용을 정확하기 전달하기 위해서 사전에 보고 내용을 요약해 둔다. 	구두 보고 시 두괄식 보고로 사건의 개요 및 진행 사항을 먼저 보고한 후 결론을 보고하는 것이 좋다. 	보고자로서 보고할 수 있는 분위기를 조성하는 것도 필요하다. 	기밀 내용을 보고할 때 서면 보고보다 구두 보고가 적절하다. 
230	결혼식: 祝 華婚 (축 화혼) 	승진: 祝 榮轉 (축 승진) 	회갑연: 祝儀 (축의) 	장례식: 賻儀 (부의) 
231	상사의 지시 내용 중 잘 모르는 내용이 있을 경우 중간에 질문하여 확인한다. 	지시를 받은 후 상사의 지시 내용을 모두 다 복창하여 확인한다. 	지시 받은 업무를 바로 시작하기 어려울지라도 우선은 바로 시작하겠다고 말씀드린다. 	상사가 호명하면 '네'하고 분명하게 대답한다. 
232	계좌번호를 알려달라고 해서 상사 이름으로 송금한다. 	SNS의 결제수단을 이용한다. 	인터넷 우체국에서 청첩장 봉투의 주소로 우편 경조환을 발송한다. 	나중에 만날 때 직접 전달한다. 
233	비서는 경영자 또는 관리자가 그들 본연의 업무에 전념할 수 있도록 보좌하는 역할을 한다. 	부서의 업무와 부서장의 비서를 겸하는 부서 소속 비서는 본래의 업무를 가지면서 부서장과 부서원을 지원하는 비서의 업무도 수행한다. 	비서 업무는 분야별로 전문화되어 가는 추세로 비서로서 갖추어야 할 태도나 사무기술은 공통적이지만, 업무분야에 따라 업무내용 등은 달라진다. 	비서에 대한 정의는 국가, 집무상황, 역사적 배경, 역할과 기능을 어떻게 보느냐와 상관없이 동일하다. 
234	CEO - Chief Executive Officer 	BTW - By the way 	FAQ - Frequently Asked Questions 	ATM - Automating Toss Machine 
235	Executive: 이사, 중역 	Managing Director: 상무이사 	General Manager: 대리 	Chairperson: 회장 
236	I'd like to confirm my reservation. 	Would you be reserved the conference room? 	I'd like to reserve a table for four. 	Is it possible to change my reservation? 
237	This is to remind you for our dinner meeting next Thursday, 10th May. 	Would you mind to cancel any hotel arrangements you may have made for her? 	Please confirm and I look forward to see you then. 	If the product has not yet been sent, please deliver it ASAP. 
238	Certified Mail: 발송 우편물이 안전하게 배달되었음을 증명해주는 우편취급 방식 	Registered Mail: 우편물마다 접수 번호를 부여하고 접수한 시점부터 배달되기까지의 과정을 기록하여 송달의 확실성이 보장되는 우편방식 	Confidential: 기밀 문서로 수신인만이 열어볼 수 있는 우편방식 	Air Mail: 청구서나 초청장 등 동일한 우편물을 다량 발송할 때 우표를 붙이지 않고 요금을 지불하는 방식 
239	Return Address 	Mail Address 	Inside Address 	Postal Direction 
240	Dear Mr. Grondahl, 	Sincerely Your; 	March 19, 2020 	John D. Russel
241	결재권자가 직접 그 의사를 결정하는 행위를 의미한다. 	부서장이나 보조 기관의 검토를 의미한다. 	정규 결재는 기안자로부터 최고 결재권자까지 정상적인 절차를 거쳐 결재를 하는 형태이다. 	전결은 업무의 내용에 따라서 결재 권한을 위임받은 사람이 행하는 결재를 말한다. 
242	기업 정보 폴더 – 주가, 환율, 금융감독원 전자 공시 시스템 	예약 업무 폴더 – 맛집 추천, 골프장 사이트 	경·조사 업무 폴더 – 기후 정보 사이트, 기업 신용 등급 	출장 업무 폴더 – 숙박업소 가격 비교, 교통편 예약 
243	수를 적을 적에는 '만(萬)' 단위로 띄어 쓴다. (예: 12억 3456만 7898) 	금액을 적을 때는 변조 등의 사고를 방지하기 위해 붙여 쓰는 게 관례다. (예: 삼십일만오천육백칠십팔원정) 	성과 이름, 성과 호 등은 붙여 쓰고, 성명 뒤에 오는 호칭어, 관직명 등은 띄어 쓴다. (예: 최치원 씨) 	성명 이외의 고유 명사는 단어별로 띄어 씀이 원칙이므로 단위별로 띄어 쓰는 것은 허용되지 않는다. (예: 한국대학교 사범대학(X), 한국 대학교 사범 대학(O)) 
244	When: 문서 내용과 관련된 장소 	Where: 문서 작성일, 문서에 언급되는 사실에 관한 시간 	What: 문서의 핵심 주제 내용 	Why: 문서 작성자, 문서 수신자, 문서 내용상의 행위자 
245	비치문서 	법규문서 	기록문서 	일반문서 
246	PC에 내장된 HDD의 장점은 상대적으로 넉넉한 용량과 저렴한 비용, 관리 및 편집이 용이하다는 장점이 있으나 PC 고장시 데이터 소실 가능성이 있다. 	USB 메모리에 저장할 경우 간편한 이용과 저렴한 가격이 장점이지만 분실이 용이하다는 것이 단점이다. 	외장하드는 휴대성이 비교적 좋고 이용이 간편하며 매체의 내구성과 수명 측면에서도 가장 안정적이다. 	클라우드 저장소 서비스에 백업할 경우 인터넷이 가능한 환경이라면 어디서나 이용이 가능하며 안정성이 높은 편이다. 
247	수신문서는 모두 개봉해서 내용을 분류하여 문서 처리 원칙에 따라 처리한다. 	상사에게 전달할 우편물은 공적인 것과 사적인 것을 구분하여 처리한다. 	상사에게 전달할 문서는 내용의 중요도에 따라 분류해서 긴급하고 중요한 서신은 위에 올려둔다. 	청구서, 견적서 등 숫자가 기입되어 있는 것은 계산착오나 기입누락이 없는지 검토한 후 상사에게 전달한다. 
